instance_id,group,group_label,axis,axis_value,cell_size_m,nx,ny,nz,n_voxels,n_passable,n_zones,n_sublevels,n_families,reference_type,reference_cost,reference_cost_buildable,best_topology,lower_bound,lower_bound_method,gap_to_lower_bound,grid_sha256,seed
xgrid-fcj-qmix,crossing_grid,Crossing grid,"fault_system, q_regime","conjugate, mixed",5.0,126,82,100,1033200,914913,4,4,7,best_known,1575778.8672,6195537.8934,chained_fan,1237832.4724527593,pairwise_divergence,0.273015,sha256:0c8369694a3af5f7053eb49759b42310bdd44e7217a461472f7f0bca3a235cf5,42103
xgrid-fcj-qpoor,crossing_grid,Crossing grid,"fault_system, q_regime","conjugate, poor",5.0,126,82,100,1033200,914913,4,4,7,best_known,2842397.75,9729447.9722,chained_fan,2261708.6225590482,pairwise_divergence,0.256748,sha256:de224e503cdd49715bd7cf71678277801245f356ca9c43b5bba6e3d217b17d7d,42203
portal-south,portal_sweep,Portal sweep,portal_site,south,5.0,126,82,100,1033200,914913,4,4,7,best_known,2819663.9297,9483852.3696,chained_fan,2307299.0084078973,pairwise_divergence,0.222063,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
portal-north,portal_sweep,Portal sweep,portal_site,north,5.0,126,82,100,1033200,914913,4,4,7,best_known,2822644.2109,10178574.7305,chained_fan,2306028.9889457677,pairwise_divergence,0.224028,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
portal-east,portal_sweep,Portal sweep,portal_site,east,5.0,126,82,100,1033200,914913,4,4,7,best_known,3538916.5859,11571780.8315,chained_fan,2895858.9478572495,pairwise_divergence,0.222061,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
portal-west,portal_sweep,Portal sweep,portal_site,west,5.0,126,82,100,1033200,914913,4,4,7,best_known,3420724.3984,12212183.6805,chained_fan,2907514.1105921483,pairwise_divergence,0.176512,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-02,zone_count,Zone count,n_zones,2,5.0,126,82,100,1033200,914913,2,2,5,exact,2366242.75,8168250.2116,single_junction,2307299.0084078973,pairwise_divergence,0.025547,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-04,zone_count,Zone count,n_zones,4,5.0,126,82,100,1033200,914913,4,4,7,best_known,2819663.9297,9483852.3696,chained_fan,2307299.0084078973,pairwise_divergence,0.222063,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-06,zone_count,Zone count,n_zones,6,5.0,126,82,100,1033200,914913,6,4,7,best_known,4112725.7109,11151176.2453,chained_fan,2588658.2181192194,pairwise_divergence,0.588748,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
zones-08,zone_count,Zone count,n_zones,8,5.0,126,82,100,1033200,914913,8,4,7,best_known,5703318.3633,11481305.5404,chained_fan,3008454.850811884,pairwise_divergence,0.895763,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
scale-130k,scale_ladder,Scale ladder,cell_size_m,10.0,10.0,63,41,50,129150,114358,4,4,7,best_known,2836435.3438,9985509.6489,chained_fan,2171828.8547188286,pairwise_divergence,0.306012,sha256:4f594398106a8821eaf6b28b47e89c282d8742f8a71bcdb2dc6472e277219846,42202
scale-1m,scale_ladder,Scale ladder,cell_size_m,5.0,5.0,126,82,100,1033200,914913,4,4,7,best_known,2819663.9297,9483852.3696,chained_fan,2307299.0084078973,pairwise_divergence,0.222063,sha256:b466e4cf975822c38cccdb1db534e7291d36b5465ce6fdd3a60f3aaee7146c46,42202
scale-8m,scale_ladder,Scale ladder,cell_size_m,2.5,2.5,252,164,200,8265600,7319376,4,4,7,best_known,2795651.6719,9181062.7357,chained_fan,2280507.7674786113,pairwise_divergence,0.22589,sha256:a24fe8c979f80d7ca5fbdb9713a17c072d880948d1a1750f306671d1df3dddb2,42202
scale-129m,scale_ladder,Scale ladder,cell_size_m,1.0,1.0,630,410,500,129150000,114365849,4,4,7,unsolved,,,,,,,sha256:b6806c7be69e8273225e3486fa72c3098f2ba4b734acb883c6b976f9232dedc8,42202
